Date,Monthly Returns,Monthly Volatility,Number of Assets,month_fraction
1995-01,0.024277711761677034,0.012529431798965976,0.5654320987654322,0.0
1995-02,0.03607414807259257,0.016296716156445984,0.5932098765432099,0.09090909090909091
1995-03,0.027329195113380722,0.015704061298023327,0.6333333333333333,0.18181818181818182
1995-04,0.027960357804911462,0.012014549243825078,0.615432098765432,0.2727272727272727
1995-05,0.03631171269946476,0.023323451525184235,0.6413580246913582,0.36363636363636365
1995-06,0.021278543431649366,0.019653287258048276,0.6820987654320989,0.45454545454545453
1995-07,0.03177603957520647,0.021370156816371035,0.6660493827160496,0.5454545454545454
1995-08,-0.0003202374774278205,0.010618880534197392,0.69320987654321,0.6363636363636364
1995-09,0.04009747288732535,0.013843256890799783,0.7253086419753085,0.7272727272727273
1995-10,-0.004979335189770229,0.016667301242541115,0.69320987654321,0.8181818181818182
1995-11,0.04104900278106194,0.01675805026222582,0.7358024691358027,0.9090909090909091
1995-12,0.01744387340596476,0.02254631255288086,0.7913580246913581,1.0
1996-01,0.03261738686923121,0.027622284002072544,0.7814814814814817,0.0
1996-02,0.006933701784703983,0.028267794082734863,0.8172839506172842,0.09090909090909091
1996-03,0.007916567590839696,0.03229299749924063,0.8592592592592592,0.18181818181818182
1996-04,0.01343142201418468,0.0241585209548862,0.840740740740741,0.2727272727272727
1996-05,0.022853405991703157,0.025081740561497336,0.8777777777777778,0.36363636363636365
1996-06,0.0022567099722681228,0.015784783790182583,0.9049382716049386,0.45454545454545453
1996-07,-0.045748016719207696,0.03594019731280991,0.8716049382716049,0.5454545454545454
1996-08,0.01881393514756069,0.025125609870974123,0.8969135802469137,0.6363636363636364
1996-09,0.05420332732833044,0.018559905953343805,0.9160493827160496,0.7272727272727273
1996-10,0.026101002422918018,0.017728295231779868,0.8716049382716049,0.8181818181818182
1996-11,0.07337615178140577,0.016869034273717193,0.8944444444444444,0.9090909090909091
1996-12,-0.021505414489508046,0.031827509201860206,0.9141975308641976,1.0
1997-01,0.061317039054128886,0.0261360882709313,0.8913580246913582,0.0
1997-02,0.0059275902346540565,0.031312831652978226,0.9123456790123456,0.09090909090909091
1997-03,-0.04261401064074877,0.034740954705439094,0.9370370370370371,0.18181818181818182
1997-04,0.05840557906734034,0.040361124579570695,0.8851851851851853,0.2727272727272727
1997-05,0.05857688480332501,0.03332256342406488,0.9055555555555554,0.36363636363636365
1997-06,0.043452614795275846,0.03362056850519273,0.9382716049382718,0.45454545454545453
1997-07,0.07814580943742477,0.031589446458124726,0.8919753086419755,0.5454545454545454
1997-08,-0.057465631708528364,0.037190014009412346,0.916666666666667,0.6363636363636364
1997-09,0.053153590615567126,0.038669646865086095,0.9370370370370371,0.7272727272727273
1997-10,-0.03447769737522033,0.07130396382754355,0.8716049382716049,0.8181818181818182
1997-11,0.04458685521263939,0.04127782099269197,0.9024691358024692,0.9090909090909091
1997-12,0.01573159710869443,0.03574898555208721,0.9475308641975309,1.0
1998-01,0.010150177442407982,0.03943873663375954,0.9024691358024692,0.0
1998-02,0.07044919253631243,0.02317664415919209,0.9314814814814816,0.09090909090909091
1998-03,0.049945714341220526,0.024199038290216742,0.9753086419753085,0.18181818181818182
1998-04,0.009076469253460395,0.031080357668223937,0.9123456790123456,0.2727272727272727
1998-05,-0.018826223261468433,0.024389802782398454,0.9617283950617286,0.36363636363636365
1998-06,0.03943824063504042,0.034024755749380804,1.0,0.45454545454545453
1998-07,-0.011615326917385427,0.03564746248728679,0.9308641975308642,0.5454545454545454
1998-08,-0.14579671825011387,0.07023021335007525,0.9586419753086419,0.6363636363636364
1998-09,0.06239551504341101,0.07655890784209177,0.9839506172839507,0.7272727272727273
1998-10,0.08029422856762891,0.05281466047480417,0.9080246913580248,0.8181818181818182
1998-11,0.05912599628568138,0.03341661489817639,0.9407407407407407,0.9090909090909091
1998-12,0.056375287084956094,0.042371783062787556,0.9740740740740743,1.0
1999-01,0.04100944085374847,0.04650039891627852,0.9104938271604941,0.0
1999-02,-0.032282562377591306,0.047828338537900666,0.927777777777778,0.09090909090909091
1999-03,0.0387942154089167,0.041419308246562946,0.9530864197530864,0.18181818181818182
1999-04,0.03794402759627746,0.03991605814738546,0.8679012345679014,0.2727272727272727
1999-05,-0.024970480796175143,0.043943519586808706,0.8740740740740742,0.36363636363636365
1999-06,0.054438331114324834,0.036060991583866386,0.895679012345679,0.45454545454545453
1999-07,-0.032046092391091685,0.030624963637135162,0.8216049382716051,0.5454545454545454
1999-08,-0.006254091687235008,0.03948783128929593,0.8339506172839508,0.6363636363636364
1999-09,-0.028551792448024638,0.04001473065016459,0.8555555555555556,0.7272727272727273
1999-10,0.0625395414523846,0.05302708570482615,0.7722222222222221,0.8181818181818182
1999-11,0.019061858969220413,0.028313049465919164,0.7987654320987656,0.9090909090909091
1999-12,0.05784389473992291,0.023930315420667033,0.8228395061728397,1.0
2000-01,-0.05090354879190062,0.05666068765942545,0.7697530864197533,0.0
2000-02,-0.020108083256356934,0.043401140681493665,0.7870370370370372,0.09090909090909091
2000-03,0.09671982835364812,0.0585327926288939,0.8055555555555558,0.18181818181818182
2000-04,-0.030795755780191336,0.0725837951030479,0.7512345679012347,0.2727272727272727
2000-05,-0.021915050603417807,0.054342893290852935,0.778395061728395,0.36363636363636365
2000-06,0.023933549615877237,0.03650237392850399,0.8037037037037038,0.45454545454545453
2000-07,-0.016341275904170893,0.03601326894867734,0.7469135802469138,0.5454545454545454
2000-08,0.06069910494167097,0.021978677596346866,0.7543209876543209,0.6363636363636364
